id,palabra,frecuencia,categoria,fecha,periodo,score_trending
13,anuncia,1,Deportes,2025-09-11T21:28:45.406795,diario,0.0
14,salida,1,Deportes,2025-09-11T21:28:45.413359,diario,0.0
15,óscar,3,Deportes,2025-09-11T21:28:45.419403,diario,0.0
2,rendimiento,2,Deportes,2025-09-11T18:18:28.534553,diario,0.0
64,nueva,2,Economía,2025-09-11T21:28:46.231042,diario,0.0
4,historia,2,Deportes,2025-09-11T18:18:28.541141,diario,0.0
38,nacional,2,Deportes,2025-09-11T21:28:45.898534,diario,0.0
7,cierra,2,Deportes,2025-09-11T18:18:28.552548,diario,0.0
74,perú,2,Economía,2025-09-11T21:28:46.337389,diario,0.0
16,ibáñez,4,Deportes,2025-09-11T21:28:45.423635,diario,0.0
84,brasil,4,Deportes,2025-09-11T21:28:46.434687,diario,0.0
5,mundial,5,Deportes,2025-09-11T18:18:28.544946,diario,0.0
18,sobre,2,Deportes,2025-09-11T21:28:45.580808,diario,0.0
19,paso,1,Deportes,2025-09-11T21:28:45.586775,diario,0.0
11,inperú,2,Economía,2025-09-11T18:18:28.711757,diario,0.0
12,cierre,2,Economía,2025-09-11T18:18:28.714140,diario,0.0
1,eliminatorias,6,Deportes,2025-09-11T18:18:28.531675,diario,0.0
22,nunca,1,Deportes,2025-09-11T21:28:45.705117,diario,0.0
23,sido,1,Deportes,2025-09-11T21:28:45.710078,diario,0.0
24,richard,1,Deportes,2025-09-11T21:28:45.763612,diario,0.0
25,pellejero,1,Deportes,2025-09-11T21:28:45.769716,diario,0.0
26,sport,1,Deportes,2025-09-11T21:28:45.777123,diario,0.0
27,huancayo,1,Deportes,2025-09-11T21:28:45.783501,diario,0.0
28,objetivo,1,Deportes,2025-09-11T21:28:45.788521,diario,0.0
29,liga,1,Deportes,2025-09-11T21:28:45.825486,diario,0.0
31,atlético,1,Deportes,2025-09-11T21:28:45.835831,diario,0.0
32,refuerza,1,Deportes,2025-09-11T21:28:45.840658,diario,0.0
33,franchesco,1,Deportes,2025-09-11T21:28:45.846203,diario,0.0
34,arequipeño,1,Deportes,2025-09-11T21:28:45.876911,diario,0.0
36,medalla,1,Deportes,2025-09-11T21:28:45.887352,diario,0.0
37,campeonato,1,Deportes,2025-09-11T21:28:45.892106,diario,0.0
39,torneo,1,Deportes,2025-09-11T21:28:45.931562,diario,0.0
40,senior,1,Deportes,2025-09-11T21:28:45.937667,diario,0.0
41,máster,1,Deportes,2025-09-11T21:28:45.941304,diario,0.0
42,super,1,Deportes,2025-09-11T21:28:45.946783,diario,0.0
43,etapa,1,Deportes,2025-09-11T21:28:45.951542,diario,0.0
44,junín,1,Deportes,2025-09-11T21:28:45.982554,diario,0.0
45,claretiano,1,Deportes,2025-09-11T21:28:45.988421,diario,0.0
46,gelicich,1,Deportes,2025-09-11T21:28:45.993824,diario,0.0
47,pasan,1,Deportes,2025-09-11T21:28:45.999945,diario,0.0
48,macrorregional,1,Deportes,2025-09-11T21:28:46.006378,diario,0.0
49,dólar,1,Economía,2025-09-11T21:28:46.048069,diario,0.0
50,debilita,1,Economía,2025-09-11T21:28:46.053584,diario,0.0
51,ayer,1,Economía,2025-09-11T21:28:46.059720,diario,0.0
52,cerró,1,Economía,2025-09-11T21:28:46.065725,diario,0.0
53,s3480,1,Economía,2025-09-11T21:28:46.071933,diario,0.0
54,desde,1,Economía,2025-09-11T21:28:46.117594,diario,0.0
55,2028,1,Economía,2025-09-11T21:28:46.122715,diario,0.0
56,trabajadores,1,Economía,2025-09-11T21:28:46.127966,diario,0.0
57,independientes,1,Economía,2025-09-11T21:28:46.134137,diario,0.0
58,aportarán,1,Economía,2025-09-11T21:28:46.139661,diario,0.0
59,sunat,1,Economía,2025-09-11T21:28:46.176020,diario,0.0
60,trabaja,1,Economía,2025-09-11T21:28:46.182585,diario,0.0
61,regular,1,Economía,2025-09-11T21:28:46.187874,diario,0.0
62,aporte,1,Economía,2025-09-11T21:28:46.194011,diario,0.0
63,consumo,1,Economía,2025-09-11T21:28:46.198528,diario,0.0
65,tarifa,1,Economía,2025-09-11T21:28:46.236415,diario,0.0
66,pasajeros,1,Economía,2025-09-11T21:28:46.242528,diario,0.0
67,escala,1,Economía,2025-09-11T21:28:46.248237,diario,0.0
68,internacional,1,Economía,2025-09-11T21:28:46.253310,diario,0.0
69,daniel,1,Economía,2025-09-11T21:28:46.283655,diario,0.0
70,maurate,1,Economía,2025-09-11T21:28:46.288435,diario,0.0
71,advierte,1,Economía,2025-09-11T21:28:46.293862,diario,0.0
72,riesgos,1,Economía,2025-09-11T21:28:46.298429,diario,0.0
73,retiros,1,Economía,2025-09-11T21:28:46.302678,diario,0.0
75,debe,1,Economía,2025-09-11T21:28:46.343264,diario,0.0
76,recuperar,1,Economía,2025-09-11T21:28:46.349531,diario,0.0
77,capacidad,1,Economía,2025-09-11T21:28:46.354503,diario,0.0
78,ahorro,1,Economía,2025-09-11T21:28:46.360002,diario,0.0
79,felicidad,1,Economía,2025-09-11T21:28:46.388167,diario,0.0
80,organizacional,1,Economía,2025-09-11T21:28:46.391311,diario,0.0
81,clave,1,Economía,2025-09-11T21:28:46.395166,diario,0.0
82,éxito,1,Economía,2025-09-11T21:28:46.398698,diario,0.0
83,financiero,1,Economía,2025-09-11T21:28:46.403117,diario,0.0
85,luis,1,Economía,2025-09-11T21:28:46.474090,diario,0.0
86,miguel,1,Economía,2025-09-11T21:28:46.478897,diario,0.0
87,castilla,1,Economía,2025-09-11T21:28:46.482752,diario,0.0
88,exministro,1,Economía,2025-09-11T21:28:46.488053,diario,0.0
89,economía,1,Economía,2025-09-11T21:28:46.493299,diario,0.0
90,competirán,1,Economía,2025-09-11T21:28:46.533802,diario,0.0
91,bancos,1,Economía,2025-09-11T21:28:46.537435,diario,0.0
92,cajas,1,Economía,2025-09-11T21:28:46.542598,diario,0.0
93,cooperativas,1,Economía,2025-09-11T21:28:46.547254,diario,0.0
94,aseguradoras,1,Economía,2025-09-11T21:28:46.551232,diario,0.0
6,pierde,3,Deportes,2025-09-11T18:18:28.548119,diario,0.0
8,perú,6,Deportes,2025-09-11T18:18:28.554485,diario,0.0
3,paraguay,3,Deportes,2025-09-11T18:18:28.539460,diario,0.0
20,carlos,3,Deportes,2025-09-11T21:28:45.685316,diario,0.0
21,zambrano,2,Deportes,2025-09-11T21:28:45.694026,diario,0.0
35,gana,2,Deportes,2025-09-11T21:28:45.882130,diario,0.0
10,2026,4,Deportes,2025-09-11T18:18:28.560847,diario,0.0
17,selección,5,Deportes,2025-09-11T21:28:45.426450,diario,0.0
99,pido,1,Espectáculos,2025-09-11T21:28:46.597237,diario,0.0
97,rompe,2,Espectáculos,2025-09-11T21:28:46.587255,diario,0.0
113,christian,3,Espectáculos,2025-09-11T21:28:46.825716,diario,0.0
100,agrado,1,Espectáculos,2025-09-11T21:28:46.634849,diario,0.0
104,cantante,1,Espectáculos,2025-09-11T21:28:46.697868,diario,0.0
105,salsa,1,Espectáculos,2025-09-11T21:28:46.704160,diario,0.0
106,parte,1,Espectáculos,2025-09-11T21:28:46.710264,diario,0.0
107,dejar,1,Espectáculos,2025-09-11T21:28:46.715652,diario,0.0
109,lafourcade,1,Espectáculos,2025-09-11T21:28:46.762077,diario,0.0
110,transmitirá,1,Espectáculos,2025-09-11T21:28:46.769447,diario,0.0
111,concierto,1,Espectáculos,2025-09-11T21:28:46.774891,diario,0.0
112,este,1,Espectáculos,2025-09-11T21:28:46.780145,diario,0.0
114,yaipén,1,Espectáculos,2025-09-11T21:28:46.831185,diario,0.0
115,tras,1,Espectáculos,2025-09-11T21:28:46.836391,diario,0.0
116,debut,1,Espectáculos,2025-09-11T21:28:46.842537,diario,0.0
117,hijo,1,Espectáculos,2025-09-11T21:28:46.847826,diario,0.0
118,fito,1,Espectáculos,2025-09-11T21:28:46.915102,diario,0.0
119,páez,1,Espectáculos,2025-09-11T21:28:46.921816,diario,0.0
120,decepcionado,1,Espectáculos,2025-09-11T21:28:46.928623,diario,0.0
121,público,1,Espectáculos,2025-09-11T21:28:46.936117,diario,0.0
122,limeño,1,Espectáculos,2025-09-11T21:28:46.943898,diario,0.0
123,said,1,Espectáculos,2025-09-11T21:28:46.992708,diario,0.0
124,palao,1,Espectáculos,2025-09-11T21:28:46.997408,diario,0.0
125,sufre,1,Espectáculos,2025-09-11T21:28:47.002526,diario,0.0
126,terrible,1,Espectáculos,2025-09-11T21:28:47.007619,diario,0.0
127,accidente,1,Espectáculos,2025-09-11T21:28:47.012551,diario,0.0
128,alejandro,1,Espectáculos,2025-09-11T21:28:47.042304,diario,0.0
129,sanz,1,Espectáculos,2025-09-11T21:28:47.048017,diario,0.0
130,regresa,1,Espectáculos,2025-09-11T21:28:47.054215,diario,0.0
131,lima,1,Espectáculos,2025-09-11T21:28:47.059430,diario,0.0
132,cantar,1,Espectáculos,2025-09-11T21:28:47.064983,diario,0.0
133,yiddá,1,Espectáculos,2025-09-11T21:28:47.102382,diario,0.0
134,eslava,1,Espectáculos,2025-09-11T21:28:47.108173,diario,0.0
135,descarta,1,Espectáculos,2025-09-11T21:28:47.113752,diario,0.0
136,producir,1,Espectáculos,2025-09-11T21:28:47.119205,diario,0.0
137,otra,1,Espectáculos,2025-09-11T21:28:47.124612,diario,0.0
108,natalia,2,Espectáculos,2025-09-11T21:28:46.756174,diario,0.0
138,fiscalía,1,Espectáculos,2025-09-11T21:28:47.152431,diario,0.0
139,solicita,1,Espectáculos,2025-09-11T21:28:47.157452,diario,0.0
140,prisión,1,Espectáculos,2025-09-11T21:28:47.164020,diario,0.0
141,efectiva,1,Espectáculos,2025-09-11T21:28:47.169624,diario,0.0
144,francisco,1,Mundo,2025-09-11T21:28:47.226023,diario,0.0
145,maracaibo,1,Mundo,2025-09-11T21:28:47.231725,diario,0.0
146,alarma,1,Mundo,2025-09-11T21:28:47.236948,diario,0.0
148,otorgará,1,Mundo,2025-09-11T21:28:47.274739,diario,0.0
149,póstumamente,1,Mundo,2025-09-11T21:28:47.280579,diario,0.0
150,medalla,1,Mundo,2025-09-11T21:28:47.285596,diario,0.0
151,libertad,1,Mundo,2025-09-11T21:28:47.288846,diario,0.0
143,explosión,2,Mundo,2025-09-11T21:28:47.220317,diario,0.0
152,méxico,1,Mundo,2025-09-11T21:28:47.324718,diario,0.0
153,camión,1,Mundo,2025-09-11T21:28:47.336963,diario,0.0
154,deja,1,Mundo,2025-09-11T21:28:47.342917,diario,0.0
155,tres,1,Mundo,2025-09-11T21:28:47.348325,diario,0.0
156,eeuu,1,Mundo,2025-09-11T21:28:47.384750,diario,0.0
157,arrestado,1,Mundo,2025-09-11T21:28:47.390335,diario,0.0
158,tiroteo,1,Mundo,2025-09-11T21:28:47.395892,diario,0.0
95,maju,3,Espectáculos,2025-09-11T21:28:46.578917,diario,0.0
162,fallecimiento,1,Mundo,2025-09-11T21:28:47.493827,diario,0.0
147,trump,5,Mundo,2025-09-11T21:28:47.268224,diario,0.0
96,mantilla,6,Espectáculos,2025-09-11T21:28:46.583670,diario,0.0
101,gustavo,9,Espectáculos,2025-09-11T21:28:46.640525,diario,0.0
165,aliado,1,Mundo,2025-09-11T21:28:47.578389,diario,0.0
166,recibe,1,Mundo,2025-09-11T21:28:47.592657,diario,0.0
168,cerca,1,Mundo,2025-09-11T21:28:47.645842,diario,0.0
169,detenidos,1,Mundo,2025-09-11T21:28:47.650602,diario,0.0
170,protestas,1,Mundo,2025-09-11T21:28:47.659342,diario,0.0
167,francia,2,Mundo,2025-09-11T21:28:47.639764,diario,0.0
172,amaneció,1,Mundo,2025-09-11T21:28:47.745375,diario,0.0
173,bloqueos,1,Mundo,2025-09-11T21:28:47.750813,diario,0.0
174,enfrentamientos,1,Mundo,2025-09-11T21:28:47.756286,diario,0.0
175,jornada,1,Mundo,2025-09-11T21:28:47.767308,diario,0.0
176,qatar,1,Mundo,2025-09-11T21:28:47.838687,diario,0.0
177,asegura,1,Mundo,2025-09-11T21:28:47.844656,diario,0.0
179,israelí,1,Mundo,2025-09-11T21:28:47.855546,diario,0.0
102,salcedo,9,Espectáculos,2025-09-11T21:28:46.645892,diario,0.0
161,confirma,2,Mundo,2025-09-11T21:28:47.487137,diario,0.0
171,contra,2,Mundo,2025-09-11T21:28:47.668709,diario,0.0
103,gutiérrez,2,Espectáculos,2025-09-11T21:28:46.693914,diario,0.0
98,silencio,3,Espectáculos,2025-09-11T21:28:46.592457,diario,0.0
142,venezuela,2,Mundo,2025-09-11T21:28:47.215041,diario,0.0
181,copa,3,Deportes,2025-09-11T21:28:47.887798,diario,0.0
178,ataque,2,Mundo,2025-09-11T21:28:47.849527,diario,0.0
180,hamás,2,Mundo,2025-09-11T21:28:47.861080,diario,0.0
182,sudamericana,3,Deportes,2025-09-11T21:28:47.891294,diario,0.0
159,charlie,5,Mundo,2025-09-11T21:28:47.402303,diario,0.0
160,kirk,4,Mundo,2025-09-11T21:28:47.408698,diario,0.0
163,activista,3,Mundo,2025-09-11T21:28:47.500905,diario,0.0
164,conservador,2,Mundo,2025-09-11T21:28:47.508770,diario,0.0
185,anunció,1,Deportes,2025-09-11T21:28:47.906548,diario,0.0
187,flores,1,Deportes,2025-09-11T21:28:47.941409,diario,0.0
188,curioso,1,Deportes,2025-09-11T21:28:47.949240,diario,0.0
189,comentario,1,Deportes,2025-09-11T21:28:47.956725,diario,0.0
190,conmovedor,1,Deportes,2025-09-11T21:28:48.026082,diario,0.0
191,emotiva,1,Deportes,2025-09-11T21:28:48.031912,diario,0.0
192,arenga,1,Deportes,2025-09-11T21:28:48.037475,diario,0.0
193,lampe,1,Deportes,2025-09-11T21:28:48.049640,diario,0.0
194,presentó,1,Deportes,2025-09-11T21:28:48.087602,diario,0.0
186,edison,2,Deportes,2025-09-11T21:28:47.936906,diario,0.0
197,universitario,1,Deportes,2025-09-11T21:28:48.126329,diario,0.0
198,deportes,1,Deportes,2025-09-11T21:28:48.128622,diario,0.0
199,álex,1,Deportes,2025-09-11T21:28:48.132671,diario,0.0
200,valera,1,Deportes,2025-09-11T21:28:48.136668,diario,0.0
201,partidos,1,Deportes,2025-09-11T21:28:48.166906,diario,0.0
203,jueves,1,Deportes,2025-09-11T21:28:48.174433,diario,0.0
204,septiembre,1,Deportes,2025-09-11T21:28:48.176448,diario,0.0
205,horarios,1,Deportes,2025-09-11T21:28:48.181272,diario,0.0
208,hacer,1,Deportes,2025-09-11T21:28:48.213848,diario,0.0
210,estamos,1,Deportes,2025-09-11T21:28:48.221254,diario,0.0
211,convocará,1,Deportes,2025-09-11T21:28:48.249629,diario,0.0
213,respondió,1,Deportes,2025-09-11T21:28:48.258007,diario,0.0
214,regreso,1,Deportes,2025-09-11T21:28:48.263124,diario,0.0
215,marcelo,1,Deportes,2025-09-11T21:28:48.265764,diario,0.0
216,seis,1,Economía,2025-09-11T21:28:48.285688,diario,0.0
217,regiones,1,Economía,2025-09-11T21:28:48.291022,diario,0.0
218,concentran,1,Economía,2025-09-11T21:28:48.294996,diario,0.0
219,gasto,1,Economía,2025-09-11T21:28:48.299642,diario,0.0
220,turismo,1,Economía,2025-09-11T21:28:48.303748,diario,0.0
221,desilú,1,Economía,2025-09-11T21:28:48.328681,diario,0.0
222,león,1,Economía,2025-09-11T21:28:48.332362,diario,0.0
223,titular,1,Economía,2025-09-11T21:28:48.336069,diario,0.0
224,mincetur,1,Economía,2025-09-11T21:28:48.340743,diario,0.0
225,cadena,1,Economía,2025-09-11T21:28:48.342195,diario,0.0
226,inperu,1,Economía,2025-09-11T21:28:48.366171,diario,0.0
227,confirma,1,Economía,2025-09-11T21:28:48.369864,diario,0.0
228,interés,1,Economía,2025-09-11T21:28:48.373218,diario,0.0
229,inversionistas,1,Economía,2025-09-11T21:28:48.376377,diario,0.0
230,extranjeros,1,Economía,2025-09-11T21:28:48.377702,diario,0.0
231,mercedes,1,Economía,2025-09-11T21:28:48.405105,diario,0.0
232,aráoz,1,Economía,2025-09-11T21:28:48.409577,diario,0.0
233,pesar,1,Economía,2025-09-11T21:28:48.413276,diario,0.0
234,vaivenes,1,Economía,2025-09-11T21:28:48.418088,diario,0.0
235,políticos,1,Economía,2025-09-11T21:28:48.419789,diario,0.0
236,pérez,1,Economía,2025-09-11T21:28:48.444881,diario,0.0
237,reyes,1,Economía,2025-09-11T21:28:48.447249,diario,0.0
239,obligación,1,Economía,2025-09-11T21:28:48.453578,diario,0.0
240,estado,1,Economía,2025-09-11T21:28:48.457059,diario,0.0
241,castellanos,1,Economía,2025-09-11T21:28:48.485086,diario,0.0
242,sobre,1,Economía,2025-09-11T21:28:48.488008,diario,0.0
244,pensiones,1,Economía,2025-09-11T21:28:48.495982,diario,0.0
245,medidas,1,Economía,2025-09-11T21:28:48.500801,diario,0.0
246,común,1,Economía,2025-09-11T21:28:48.525550,diario,0.0
247,denominador,1,Economía,2025-09-11T21:28:48.529031,diario,0.0
248,estrella,1,Economía,2025-09-11T21:28:48.536085,diario,0.0
249,región,1,Economía,2025-09-11T21:28:48.538630,diario,0.0
250,wall,1,Economía,2025-09-11T21:28:48.565208,diario,0.0
251,street,1,Economía,2025-09-11T21:28:48.569815,diario,0.0
252,abre,1,Economía,2025-09-11T21:28:48.575358,diario,0.0
253,verde,1,Economía,2025-09-11T21:28:48.579073,diario,0.0
254,pese,1,Economía,2025-09-11T21:28:48.583754,diario,0.0
255,ofrece,1,Mundo,2025-09-11T21:28:48.613250,diario,0.0
256,recompensa,1,Mundo,2025-09-11T21:28:48.618348,diario,0.0
257,hasta,1,Mundo,2025-09-11T21:28:48.622566,diario,0.0
258,dólares,1,Mundo,2025-09-11T21:28:48.626888,diario,0.0
259,quienes,1,Mundo,2025-09-11T21:28:48.631367,diario,0.0
260,gobierno,1,Mundo,2025-09-11T21:28:48.660222,diario,0.0
261,planea,1,Mundo,2025-09-11T21:28:48.668973,diario,0.0
262,cancelar,1,Mundo,2025-09-11T21:28:48.673456,diario,0.0
263,visados,1,Mundo,2025-09-11T21:28:48.676374,diario,0.0
264,arma,1,Mundo,2025-09-11T21:28:48.706027,diario,0.0
266,rifle,1,Mundo,2025-09-11T21:28:48.724468,diario,0.0
265,asesinar,2,Mundo,2025-09-11T21:28:48.712032,diario,0.0
267,publica,1,Mundo,2025-09-11T21:28:48.752808,diario,0.0
268,fotos,1,Mundo,2025-09-11T21:28:48.757076,diario,0.0
269,sospechoso,1,Mundo,2025-09-11T21:28:48.762469,diario,0.0
270,reaccionó,1,Mundo,2025-09-11T21:28:48.805335,diario,0.0
272,tras,1,Mundo,2025-09-11T21:28:48.811959,diario,0.0
273,asesinato,1,Mundo,2025-09-11T21:28:48.815146,diario,0.0
274,empresario,1,Mundo,2025-09-11T21:28:48.845635,diario,0.0
275,disputa,1,Mundo,2025-09-11T21:28:48.848824,diario,0.0
276,elon,1,Mundo,2025-09-11T21:28:48.854297,diario,0.0
277,musk,1,Mundo,2025-09-11T21:28:48.856560,diario,0.0
202,vivo,2,Deportes,2025-09-11T21:28:48.169212,diario,0.0
212,bolivia,4,Deportes,2025-09-11T21:28:48.252272,diario,0.0
238,pensión,2,Economía,2025-09-11T21:28:48.451766,diario,0.0
271,mundo,3,Mundo,2025-09-11T21:28:48.807961,diario,0.0
195,indumentaria,2,Deportes,2025-09-11T21:28:48.091105,diario,0.0
183,2025,4,Deportes,2025-09-11T21:28:47.897080,diario,0.0
206,pedro,2,Deportes,2025-09-11T21:28:48.204863,diario,0.0
207,gallese,2,Deportes,2025-09-11T21:28:48.209337,diario,0.0
184,conmebol,5,Deportes,2025-09-11T21:28:47.902475,diario,0.0
30,alianza,9,Deportes,2025-09-11T21:28:45.830834,diario,0.0
